ticker,tenor_months,target_date,expiration,fetched_at_utc,underlying_last,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,mid,spread_abs,spread_pct,adjusted_mid
SPX,24,2027-01-02,2026-12-18,2026-02-05 15:40:06.717462+00:00,5868.55,163385376,2024-12-30,5550.0,,976.4,987.3,,,0,398,0.193854,True,REGULAR,USD,call,981.85,10.899999999999975,0.0111014920812751,981.9285714285716
SPX,24,2027-01-02,2026-12-18,2026-02-05 15:40:06.717462+00:00,5868.55,143404842,2025-01-02,5600.0,,942.5,953.3,,,8,1681,0.19183,True,REGULAR,USD,call,947.9,10.799999999999956,0.0113936069205611,947.9
SPX,24,2027-01-02,2026-12-18,2026-02-05 15:40:06.717462+00:00,5868.55,163385377,2025-01-02,5650.0,,908.9,919.7,,,8,3,0.189796,True,REGULAR,USD,call,914.3,10.800000000000068,0.0118123154325714,914.3
SPX,24,2027-01-02,2026-12-18,2026-02-05 15:40:06.717462+00:00,5868.55,143404843,2024-12-24,5700.0,,875.7,886.4,,,0,1427,0.187745,True,REGULAR,USD,call,881.05,10.699999999999932,0.0121446001929515,881.05
SPX,24,2027-01-02,2026-12-18,2026-02-05 15:40:06.717462+00:00,5868.55,163385378,2024-12-31,5750.0,,842.9,853.5,,,0,190,0.185694,True,REGULAR,USD,call,848.2,10.600000000000025,0.0124970525819382,848.2
SPX,24,2027-01-02,2026-12-18,2026-02-05 15:40:06.717462+00:00,5868.55,143404844,2024-12-30,5800.0,,810.5,821.0,,,0,3046,0.183636,True,REGULAR,USD,call,815.75,10.5,0.0128715905608335,815.75
SPX,24,2027-01-02,2026-12-18,2026-02-05 15:40:06.717462+00:00,5868.55,163385379,2024-12-27,5850.0,,778.4,788.9,,,0,149,0.181551,True,REGULAR,USD,call,783.65,10.5,0.0133988387673068,783.65
SPX,24,2027-01-02,2026-12-18,2026-02-05 15:40:06.717462+00:00,5868.55,143404845,2025-01-02,5900.0,,746.8,757.2,,,1,928,0.17947,False,REGULAR,USD,call,752.0,10.400000000000093,0.0138297872340426,752.0
SPX,24,2027-01-02,2026-12-18,2026-02-05 15:40:06.717462+00:00,5868.55,163385380,2024-12-27,5950.0,,715.7,726.0,,,0,576,0.177403,False,REGULAR,USD,call,720.85,10.299999999999956,0.0142886869667752,720.85
SPX,24,2027-01-02,2026-12-18,2026-02-05 15:40:06.717462+00:00,5868.55,143930701,2023-12-05,600.0,,5218.4,5298.4,,,0,1,1.070644,True,REGULAR,USD,call,5258.4,80.0,0.0152137532329225,5258.4
SPX,24,2027-01-02,2026-12-18,2026-02-05 15:40:06.717462+00:00,5868.55,143493869,2025-01-02,6000.0,,685.0,695.2,,,150,3820,0.175313,False,REGULAR,USD,call,690.1,10.200000000000044,0.0147804665990436,690.1
